product_id,date,sales_amount,store_id
PROD_083,2024-03-03,390.66,STORE_19
PROD_041,2024-08-01,215.7,STORE_03
PROD_035,2024-03-30,477.66,STORE_19
PROD_054,2024-12-29,378.79,STORE_13
PROD_036,2024-02-26,239.84,STORE_06
PROD_020,2024-11-15,36.03,STORE_11
PROD_055,2024-11-11,134.95,STORE_15
PROD_029,2024-01-05,189.96,STORE_01
PROD_035,2024-07-28,283.86,STORE_16
PROD_094,2024-05-26,431.3,STORE_18
PROD_014,2024-12-18,49.26,STORE_11
PROD_066,2024-10-22,203.63,STORE_01
PROD_063,2024-01-06,141.73,STORE_01
PROD_071,2024-09-08,472.74,STORE_02
PROD_024,2024-01-07,276.88,STORE_09
PROD_096,2024-07-13,228.03,STORE_14
PROD_089,2024-07-31,31.51,STORE_14
PROD_047,2024-01-24,347.46,STORE_02
PROD_020,2024-11-07,266.45,STORE_06
PROD_023,2024-07-17,49.39,STORE_07
PROD_044,2024-11-07,225.42,STORE_08
PROD_052,2024-09-05,273.7,STORE_20
PROD_088,2024-04-20,392.46,STORE_14
PROD_024,2024-03-20,323.49,STORE_12
PROD_031,2024-09-30,388.02,STORE_06
PROD_080,2024-07-11,313.81,STORE_01
PROD_003,2024-09-01,259.18,STORE_11
PROD_076,2024-07-22,155.74,STORE_03
PROD_031,2024-10-07,117.99,STORE_17
PROD_041,2024-11-17,316.47,STORE_12
PROD_025,2024-07-09,431.47,STORE_03
PROD_063,2024-06-04,203.91,STORE_02
PROD_010,2024-09-08,76.59,STORE_17
PROD_034,2024-06-25,393.35,STORE_06
PROD_094,2024-06-17,499.95,STORE_18
PROD_010,2024-03-31,196.14,STORE_16
PROD_017,2024-03-20,430.79,STORE_06
PROD_039,2024-06-18,42.84,STORE_08
PROD_011,2024-04-03,400.91,STORE_03
PROD_043,2024-04-12,120.74,STORE_19
PROD_034,2024-06-24,355.53,STORE_15
PROD_090,2024-07-18,117.41,STORE_17
PROD_043,2024-09-04,172.64,STORE_19
PROD_089,2024-01-07,266.72,STORE_05
PROD_020,2024-10-16,215.47,STORE_17
